Item Name,Selling,M.R.P,Total Stock
LAKME PEAC MILK INTENSE MOIS 60ML,95,99,2
LAKME PEAC MILK MOIS 60ML,105,110,2
LAKME PEAC MILK MOISTURISER ALL SKIN 60ML,96,99,3
LAKME PER LIQ FOU COR 27M,150,155,0
LAKME PER LIQ FOU MAR 27M,150,155,3
LAKME PER LIQ FOU PEA 27M,150,155,10
LAKME PER LIQ FOU SHE 27M,150,155,7
LAKME PER RADI CREME 15G,117,120,0
LAKME PERFECT FOUND 27ML,152,160,9
LAKME PERFECT RADIANCE BRIGHT LIGHT CREME 390/-,390,399,3
LAKME PERFECT RADIANCE MINER CLAY MASK,480,499,1
LAKME PR SK LG FW 50G,170,175,3
LAKME RAGIMALT MIX 200G,87,90,3
"LAKME ROSE POWDER S,WPINK 40G",170,175,4
LAKME STBE CREAME FW 50G,115,120,3
LAKME STBE FW 50G,105,110,0
LAKME SUN EXPERT 18ML,96,99,0
LAKME SUN EXPERT 50ML,295,299,1
LAKME SUN EXPERT COMPACT,236,249,5
LAKME SUN EXPERT LIG GEL60ML,194,199,0
LAKME SUN EXPERT TINTED SUN SCREEN 100ML,545,549,2
LAKME SUN EXPERT ULTRAMATTE LOTION 100ML,479,499,5
LAKME SUN EXPERT ULTRAMATTE LOTION 60ML,220,225,1
LAKME TRUE WEAR NAIL COLOR,110,120,11
LAKME VOLME MASCARA 8.5ML,390,400,1
LAKME YOUTH INFINITY DAY CREAM 50G,890,899,1
LAKSHMI PISTA MILK SHAKE,63,65,3
LAKSHMI ROSE MILK,85,90,3
LALYER POWER PLY 135ML,185,199,2
LAME COMPACT POW 40G,155,160,0
LAPR BRIGHT DAY CR 50G,321,330,0
LAPR BRT NIGHT CRE 50G,391,400,0
LAVANGAM 25G,25,30,37
LAVANGAM 25GM,25,30,62
LAVANGAM 50GM,48,60,66
LAVANGAM BULK,"1,000.00","1,200.00",1.49
LAVENDER ULTIMO 100ST,147,150,8
LAXMAN REKHA COCKROACH CHALK,12,16,79
LAYER CAKE CHOCO 25G,9.83,10,36
LAYER CRAZE 135ML,220,225,1
LAYER DYNAMIC 135ML,175.5,195,3
LAYER GAME 135ML,202.5,225,0
LAYER ICONIC 135ML,175.5,195,2
LAYER MAX BLAZE 125ML,175.5,195,0
LAYER MAX FLAIR 125ML,175.5,195,0
LAYER MAX FLICK 125ML,175.5,195,0
LAYER MAX TREND 125ML,175.5,195,0
LAYER PASSION 135ML,175.5,195,3
LAYER POWER 135ML,202.5,225,4
LAYER RAGE 135ML,175.5,195,0
LAYER RED STALLION 135ML,175.5,195,4
LAYER ROMANCE,235,249,3
LAYER ROYAL JADE 135ML,175.5,195,3
LAYER SHOT DEEP DESIRE 135ML,175.5,195,6
LAYER SHOT IMPERIAL 135ML,175.5,195,0
LAYER SHOT MYSTIC ISLAND,236,249,6
LAYER SHOT SPORTY SPRAY 135ML,175,195,3
LAYER SHOT ULTIMA 135ML,176,195,2
LAYER SHOT VOYAGE 135ML,175.5,195,3
LAYER WA FANTASY 135ML,240,249,6
LAYER WG AMR KISS 135ML,185,199,0
LAYER WG DEEP SPC 135ML,176,195,0
LAYER WG FRESH CITRUS 135ML,185,199,5
LAYER WG HEAVEN 135ML,240,249,4
LAYER WG MYSTIC ISLN 135ML,185,199,4
LAYER WG PINK ANGLE 135ML,185,199,6
LAYER WG PURE PARAD 135ML,185,199,6
LAYER WG SCRT CRUH 135ML,185,199,4
LAYER WG SPELL BOUND 135ML,176,195,2
LAYER WOT VAN TWIST 135ML,185,199,5
LAYERR SHOT ALPINE FRESH 130ML,220,221,2
LAYERR SHOT BLACK NOIR,220,221,2
LAYERR SHOT FIERY PRIDE,220,221,2
LAYERR SHOT FOREST SPICE,215,221,2
LAYS AMERICAN CREAM AND ONION FLAVOUR 28G,29,30,12
LAYS AMERICAN STYLE 190G,84,85,0
LAYS CA CREAM AND ONION 28G,9.83,10,46
LAYS CHEESY LOVE,9.83,10,3
LAYS CHEESY LOVE 20/-,19.5,20,0
LAYS CHILLI LIMON FLA 10/-,9.83,10,31
LAYS CLASSIC SALT 28G,9.83,10,36
LAYS CLASSIC SALTED 30/-,29,30,8
LAYS CLASSIC SALTED 52G,19.5,20,11
LAYS CREAM ONION 90G,34,35,24
LAYS CREAM ONION FLAVOUR 52G,19.5,20,32
LAYS HERBY CRUSH,9.83,10,4
LAYS HERBY CRUSH 50G,19.5,20,0
LAYS HOT SWEET CHILLI 28G,9.83,10,130
LAYS HOT SWEET CHILLI 52G,19.5,20,49
LAYS HOT SWEET CHILLI 78G,29,30,3
LAYS MAGIC MASALA 10/-,9.83,10,23
LAYS MAGIC MASALA 20/-,19.5,20,22
LAYS MAGIC MASALA 35/-,29,30,3
LAYS MAX 20/-,19.5,20,2
LAYS MAX MACHO CHILLI 22.5G,9.83,10,28
LAYS MAX MACHO CHILLI 63G,34,35,9
LAYS MAX SIZ BAR 36G,19.5,20,5
LAYS MAX SIZ BAR 63G,34,35,2
LAYS MAXX MACHO CHILLI 20/-,19.5,20,10
LAYS MAXX SIZZLING BARBEQUE 22.5G,9.83,10,40
LAYS MOCHA CHILLI 28G,9.83,10,27
LAYS SPANISH TOMATO TANGO 28G,9.83,10,55
LAYS TOMATO TA 52G,19.5,20,44
LAYS TOMATO TA 90G,29,30,10
LAYS WAFER STYLE CHILLI FLAVOUR 10/-,9.83,10,23
LAYS WAFER STYLE TANGY FLAVOUR,10,10,0
LAYS WAFER STYLE TANGY FLAVOUR 20/,19.5,20,6
LAYS WAH 115G,49,50,12
LC BUTTER SCOTCH 65ML,14.75,15,18
LC ORANGE 10/-,9.83,10,0
LC PANN 60ML,19.5,20,18
LEAD BOX 5/-,5,5,74
LEAD PENCIL 15/-,14.5,15,21
LEADER GRAM FLOUR 200G,18,19,10
LEADER GRAM FLOUR 500G,44,45,6
LEHAR CLUB SODA 600ML,19,20,2
LEMON,90,90,4.45
LEMON ACTIVE SOAP 10/-,9.83,10,50
LEMON ICE TEA 250ML,19.5,19.5,3
LEMON ICE TEA PEACH 250ML,20,20,0
LEO AROMA JAR 100G,205,210,2
LEO AROMA JAR 50G,105,110,0
LEO COFFEE BRE FAST BLEND 60;40 200G,88,90,10
LEO COFFEE BRE FAST BLEND 60;40 500G,218,225,0
LEO COFFEE DEGREE BLEND 200G,92,94,0
LEO COFFEE DEGREE BLEND 500G,228,235,6
LEO COFFEE HOUSE BLEND 100G,54,55,0
LEO COFFEE HOUSE BLEND 200G,106,110,0
LEO COFFEE HOUSE BLEND 500G,268,275,9
LEO COFFEE MADRAS BLEND 100G,51,52,0
LEO COFFEE MADRAS BLEND 200G,102,104,0
LEO COFFEE MADRAS BLEND 500G,253,260,1
LEO COFFEE TOP BLEND 200G,127,130,6
LEO ULTIMATE JAR 100G,285,290,0
LEO ULTIMATE JAR 50G,147,150,1
LETA BRIGHT COCOUNUT SCURB PAD,14,15,48
LETTUCE GREEN,128,128,0.8
LETTUCE RED,0,0,0
LEVER AYUSH 100ML,147,149,0
LEVER AYUSH TURMERIC FACE WASH,54,55,6
LEVISTA  INSTANT COFFEE STRONG 100G,170,175,44
LEVISTA CLASSIC 100G,194,260,0
LEVISTA CLASSIC 50G,128,135,11
LEVISTA CLASSIC PURE COMBO 150G,252,260,3
LEVISTA FILTER,19,20,9
LEVISTA FILTER COFFEE 100G,39,40,0
LEVISTA FILTER COFFEE 200G,88,90,12
LEVISTA FILTER COFFEE 200G CGICORY,73,75,11
LEVISTA FILTER COFFEE 500G,210,215,0
LEVISTA FILTER COFFEE CHICORY 500G,177,180,1
LEVISTA INSTANT CLASSIC 50G,123,125,1
LEVISTA INSTANT COFFEE  STRONG 200G,290,295,4
LEVISTA INSTANT COFFEE CLASSIC 100G,235,240,0
LEVISTA INSTANT COFFEE PREMIUM 100G,180,185,46
LEVISTA INSTANT COFFEE PREMIUM 200G,296,305,4
LEVISTA INSTANT COFFEE PREMIUM 5/-,5,5,15
LEVISTA INSTANT COFFEE PREMIUM 50G,73,75,95
LEVISTA INSTANT COFFEE STRONG 2/-,2,2,66
LEVISTA INSTANT COFFEE STRONG 5/-,5,5,52
LEVISTA INSTANT COFFEE STRONG 50G,83,85,72
LEVISTA INSTANT COFFEE STRONG 9G,9.83,10,108
LEVISTA INSTANT COFFEE SUPREME 50G,68,86,9
LEVISTA INSTANT EXTRA STRONG 200G,125,130,12
LG KATTI 100G,120,153,1
LG KATTI 50G,68,78,21
LG POWDER 100G,134,154,15
LG POWDER 200G,270,304,0
LG POWDER 50G,62,79,13
LIA 100/-,95,100,7
LIA 15/-,14.5,15,5
LIA 50/-,48,50,11
LIA ASSORT 10/-,9.83,10,9
LIA ASSORT BATHI 20/-,19,20,35
LIA ASSOTRED 15/-,14,15,0
LIA CAR FR AQUA DRAM,243,250,0
LIA CAR FR LAVENDER,243,250,2
LIA CAR FR REFIL LAVENDER,147,150,0
LIA CAR FR REFIL PACK AQUA DREAM,147,150,0
LIA CAR GEL ALPINE VALLEY 45G,374,379,0
LIA CAR GEL AQUA DREAM 45GM,374,379,0
LIA CAR GEL CITRIC TANGO 45G,374,379,1
LIA CAR GEL SEA SHORE 45GM,370,375,5
LIA CAR MIST AMBER SPICE 100ML,195,200,0
LIA CAR MIST CITRUS 250/-,243,250,0
LIA CAR MIST OCEAN 100ML,195,200,0
LIA CHANTHANAM 50/-,48,50,0
LIA COMET 15/-,14,15,0
LIA COMET.15/-,14,15,20
LIA HEALING TOUCH LEMON ESSENTIAL OIL 250ML,160,165,1
LIA JAS 50/-,49,50,6
LIA LAVAENDERZ STICKS 115G,48,50,0
LIA NATU GIFT 50/-,48,50,0
LIA PRIME ROSE 10/-,9,10,0
LIA PRIME ROSE 50/-,49,50,9
LIA PRIME ROSE 66G,28,30,2
LIA ROOM FRESHNER CHANDANAM 160G,145,155,2
LIA ROOM FRESHNER FLORAL MUSK 160G,135,140,0
LIA ROOM FRESHNER FRUITZ 160G,135,140,4
LIA ROOM FRESHNER JASMINE 160G,145,150,6
LIA ROOM FRESHNER LAVENDER 160G,145,155,1
LIA ROOM FRESHNER LEMON BURST 160G,145,150,3
LIA ROOM FRESHNER ROSE 160G,145,150,3
LIA ROOM FRESHNER SEA SHORE 160G,145,155,2
LIA RUSHI SAMBARANI,19.5,20,7
LIA SAMTRUPTI,9.83,10,23
LIA SEMTRUPTI STICKS 115G,48,50,8
LIA TEA LIGHTS 12,66,72,0
LIA TEA LIGHTS 24,120,130,0
LIA TWILIGHT TOUCH,19.5,20,27
LIBERTY BLACK STICK,58,60,5
LIBERTY WHITE STICK,58,60,3
LIFEBUOY CARE 10/-,9.83,10,30
LIFEBUOY CARE 125G,21,22,9
LIFEBUOY GERM KILL SPRAY 75ML,145,149,0
LIFEBUOY HAND SANITIZER 50ML,24,25,12
LIFEBUOY HANDWASH GERM PROTECTION,24,25,8
LIFEBUOY LAUNDRY SANITIZER,95,100,3
LIFEBUOY LEMON 10/-,9.83,10,2
LIFEBUOY LEMON FR 125G,27,28,50
LIFEBUOY NATURE HANDWASH 185ML,111,113,7
LIFEBUOY NATURE HANDWASH 750ML,185,189,0
LIFEBUOY NEEM AND ALOE VERA SOAP 28/-,29,30,15
LIFEBUOY NEEM SOP 125G,28,29,22
LIFEBUOY SANITIZER 120/-,115,120,2
LIFEBUOY SANITIZER 25/,24,25,0
LIFEBUOY SANITIZER 70/-,70,70,0
LIFEBUOY SANITIZER 95/-,94,95,2
LIFEBUOY TOTAL 10 BUY 4 GET 2 SOAP,175,180,3
LIFEBUOY TOTAL 10 HAND WASH 190ML,94,95,7
LIFEBUOY TOTAL 10 HAND WASH 240ML,83,85,0
LIFEBUOY TOTAL 10 HAND WASH 51/,39,40,11
LIFEBUOY TOTAL 10 HAND WASH 750ML,195,199,0
LIFEBUOY TOTAL 10 HAND WASH 80ML,24,25,1
LIFEBUOY TOTAL 10 HAND WASH COMBO 113/-,48,51,1
LIFEBUOY TOTAL 10/-,9.83,10,10
LIFEBUOY TOTAL 10PLUS 100ML,19,20,10
LIFEBUOY TOTAL 125G,34,35,64
LIFEBUOY TOTAL OFFER PACK,118,120,2
LIFEBUOY TOTAL SOAP 3*100G,64,65,19
LIFEBUOY TURMER 125G SOP,29,30,15
LIFEBUOY TURMERIC 10/-,9.83,10,4
LIFEBUOY WET WIPES,78,80,0
LILIUM HB SANITAIZER 200/-,200,200,1
LILIUM HB SANITAIZER 400/-,390,400,4
LILLY ULTIMO 100ST,147,150,5
LIMCA 250ML,14.75,15,31
LIMCA 300ML,34,35,3
LIMCA 400ML,29.5,30,13
LIMCA 600ML,37,38,14
LION AJWAH DATES 250G,250,254,0
LION AMLA IN HONEY,133,135,2
LION ARABIAN DATES 250G,113,119,0
LION ARABIAN DATES 500G,195,199,1
LION BADAM IN HONEY 300G,308,310,3
LION CHOCO DATES 60G,79,80,13
LION CHOCOLATE DATES,220,240,8
LION DATES  SYRUP 500G,195,200,4
LION DATES HALWA 100G,40,42,0
LION DATES HALWA 200G,69,73,0
LION DATES JAM 250G,88,90,1
LION DATES JAM 500G,173,176,2
LION DATES JAM MANGO 1+1 250G,97,98,4
LION DATES JAM MANGO PULP 500G,175,176,3
LION DATES KETCHUP 240+240G,94,96,0
LION DATES SYRUP 150G,64,66,0
LION DATES SYRUP 250G,105,107,6
LION DATES SYRUP 500G,190,196,3
LION DELICASY DATES 250G CUP,147,155,7
LION DESERT DATES 100G REFILL,28.5,30,9
LION DESERT DATES 250G CUP,70,78,5
LION DESERT DATES 500G CUP,137,142,6
LION DESERT DATES 500G REFILL,133,140,5
LION DESERT KING 250GM CUP,125,132,9
LION DESERT KING 250GM REFILL,113,119,5
LION DESERT KING 500GM CUP,245,248,6
LION DESERT KING 500GM REFILL,218,223,4
LION DESSERT DATES 200G REFILL,47,49,9
LION DOL DATES 200 G,122,125,8
LION GRAPE SQUASH 700ML,139.5,147,2
LION HEALTH MIX 250G,175,179,5
LION HEALTH MIX 500G,222,225,0
LION HONEY 1+1 1KG,470,495,2
LION HONEY 1+1 400G,235.6,248,4
LION HONEY 100G,55,58,10
LION HONEY 250G (1+1),150,154,8
LION HONEY 500G,145,149,1
LION HONEY 50G,34,35,15
LION KINJO DATES 250G,83,86,5
LION KINJO DATES 400G,165,169,2
LION KINJO DATES 500G,191,196,10
LION LAYINA DATES 250G,54,56,4
LION LAYINA DATES 500G,99,100,7
LION MANGO SQUASH 700ML,139.5,147,1
LION MIX FRUIT JAM 100G,19.5,20,14
LION MIX FRUIT JAM 250G,88,90,7
LION MIX FRUIT JAM 500G,154,162,3
LION MUSCAT DATES 500G,213,222,1
LION NANNARI SHARBATH 700ML,130,135,4
LION NUTS D IN HONEY 300G,298,300,2
LION OATS 1.5 KG REFI +  FREE 1.5KG OATS,242,255,2
LION OATS 200G,48,49,4
LION OATS 700G REFI + FREE 700G OATS,105,109,3
LION ORANGE SQUASH 700ML,160,164,0
LION ORGANIC HONEY 250G,95,96,0
LION ORGANIC HONEY 500G,177,180,0
LION PINEAPPLE JAM 250G,56,57,0
LION PREMIUM DATES 500G,115,120,10
LION ROSE SHARBAT 700ML,133,140,3
LION SEEDED DATES 250G RE FREE(B ONE+G ONE),93,95,6
LION SEEDED DATES 500G CUP,83,84,0
LION SEEDED DATES 500G RE FREE(B ONE+G ONE),180,184,7
LION TOMATO KETCHUP DATES 225G,97,99,0
LION ZAHIDI WET DATES 500G CUP,69,70,0
LIPTON GREEN HONEY LEMON 100G,127,130,0
LIPTON GREEN HONEY LEMON 10N*1.4G,64,65,4
LIPTON GREEN HONEY LEMON 25N 1.4G,163,165,3
LIPTON GREEN MINT BURST 25N 1.3G,142,145,0
LIPTON GREEN PURE LIGHT 100G,148,150,10
LIPTON GREEN PURE LIGHT 100N*1.3G,598,600,2
LIPTON GREEN PURE LIGHT 10N 1.3G,64,65,6
LIPTON GREEN PURE LIGHT 250G,345,350,1
LIPTON GREEN PURE LIGHT 25N *1.3G,163,165,5
LIPTON GREEN PURE LIGHT 5N *1.3G,19.5,20,0
LIPTON GREEN TEA 165N *250G,243,250,0
LIPTON GREEN TEA 20/-,19,20,0
LIPTON GREEN TEA LEMON ZEST 10N*1.3G,64,65,1
LIPTON GREEN TEA MINT 25N,163,165,0
LIPTON GREEN TEA TULSI NATURAL 160-/,163,165,3
LIPTON GREEN TULSI NAT 10N*1.3G,64,65,4
LIPTON LEMON ICE TEA 350ML,29.5,30,4
LIPTON PEACH ICE TEA 350ML,24,25,2
LIRIL BB 75G SOAP,35,36,14
LIRIL COOLING MINT SOAP 75G,29,30,2
LIRIL LEMON 125G SOP,56,57,2
LIRIL LEMON 75G SOP,34.5,35,15
LISTENMINT,122,152,8
LISTERINE CAVI FIGH MOUTH WASH 250ML,155,160,4
LISTERINE CAVI FIGH MOUTH WASH 500ML,280,285,0
LISTERINE CAVI FIGH MOUTH WASH 80ML,58,60,6
LISTERINE COMINT MILD TASTE MW 250ML,122,125,3
LISTERINE COMINT MILD TASTE MW 80ML,49,50,1
LISTERINE COOL MINT MI TAS MW 500ML,223,230,0
LISTERINE COOL MINT MOUTH WASH 250ML,147,150,2
LISTERINE COOL MINT MOUTH WASH 500ML,280,285,8
LISTERINE COOL MINT MOUTH WASH 80ML,58,60,7
LISTERINE FRESH BURST MOUTH WASH 500ML,264,265,2
LISTERINE FRESH BURST MOUTH WASH 80ML,54,55,4
LISTERINE FRESHBURST MOUTH WASH 250ML,145,150,2
LISTERINE ORIGINAL MOUTH WASH 250ML,145,150,3
LISTERINE ORIGINAL MOUTH WASH 500ML,280,285,2
LISTERINE ORIGINAL MOUTH WASH 80ML,54,55,5
LITCHI,0,0,0
LITE CHIWDA 10/-,9.83,10,27
LITE CHIWDA 150GM,24,25,3
LITTLE HEARTS 20/-,24.5,25,8
LITTLE HEARTS 20G,5,5,2
LITTLE HEARTS 35G,9.83,10,38
LITTLE HEARTS 75G 25/,24.5,25,16
LITTLE MILLET 500G,78,80,6
LIVEASY COTTON BUDS,52,55,4
LIVESTA INSTANT COFFEE PREMIUM 8G,9.83,10,70
LIVON SERUM 100ML,243,250,0
LIVON SERUM 20ML,64,65,6
LIVON SERUM 50ML,149,150,13
LIZARDS GELL,85,108,9
LIZARDS GELL 54/-,53,63,7
LIZOL 100ML,24,25,5
LIZOL 1L,175,179,10
LIZOL CITRUS 93/-,97,98,3
LIZOL CSC 3 IN 1 PINE 400ML,73,74,9
LIZOL CSC 3IN1 LEMON 400ML,73,74,1
LIZOL DFC CITRUS 200ML,39,40,28
LIZOL DFC CITRUS 500ML,99,103,24
LIZOL DFC CITRUS 975ML,190,196,4
LIZOL DFC FINE 500ML,91,93,12
LIZOL DFC FLORAL 200ML,37,38,71
LIZOL DFC FLORAL 500ML,99,103,12
LIZOL DFC JASMINE 200ML,37,38,14
LIZOL DFC JASMINE 500ML,96,98,4
LIZOL DFC LAVENDER 500ML,99,103,12
LIZOL DFC NEEM 200ML,37,38,9
LIZOL DFC NEEM 500ML,99,103,7
LIZOL DFC SANDAL 500ML,91,93,2
LIZOL DFC TULSI 500ML,91,93,0
LIZOL FLORAL 975ML,190,196,7
LIZOL JASMINE 2L,348,362,1
LK EYECON KAJAL TWIN 0.35G,310,320,11
LK LIQ 02 REDVEL 5.6. 6ML,288,295,0
LK LIQ 03 REDVEL 5.6. 6ML,288,295,1
LK PR MM SLC SPF 23 BH 05,180,190,1
LK PR MM SLC SPF 23 GM 03,180,190,2
LK PR MM SLC SPF 23 IF 01,180,190,2
LOCTO KING 440G,98,100,3
LOLAS BALLS,24,25,70
LOLAS PANI PORI,44,45,3
LOLAS PEPPER CHIPS 25/-,29,30,12
LOLLY GUM 125/-,120,125,0
LOREAL ANTI FINE LINES 135/-,133,135,3
LOREAL BOLD KAJAL,345,350,3
LOREAL CRYSTAL MASK 150/-,147,150,1
LOREAL DREAM LENGTHS CONDITIONER 71.5ML,96,99,2
LOREAL DREAM LENGTHS SHAMPOO 192.5ML,170,175,6
LOREAL DREAM LENGTHS SHAMPOO 69/-,78,79,3
LOREAL EXCELLENCE SHADE NO1 100G,610,620,1
LOREAL FACIAL FOAM 120/-,118,120,2
LOREAL FACIAL FOAM 95,93,95,6
LOREAL FALL RESIST 3X PARIS,15.5,16,10
LOREAL FALL RESIST CONDITIONER 192.5ML,192,199,5
LOREAL HAIR SERUM 299/-,290,299,2
LOREAL HAIR SERUM 499/-,485,499,1
"LOREAL PARIS 6 OIL NOURISH CONDITIONER,SHAMPOO 185/-",195,199,3
LOREAL PARIS 6OIL NOUIRISH SHAM,15.5,16,1
LOREAL PARIS 6OIL NOUIRISH SHAM 192ML,98,99,0
LOREAL PARIS CASTING CREME GLOSS 200,545,550,1
LOREAL PARIS CP SHAMP 192.5ML,153,159,2
LOREAL PARIS CP SHAMP 192.5ML 150/-,148,150,1
LOREAL PARIS TOTAL REPAIR 4,15.5,16,0
LOREAL PARIS TOTAL REPAIR 5 SHAM,15.5,16,7
LOREAL PARIS TOTAL REPAIR 5 SHAM 192ML,98,99,0
LOREAL SERUM AND MASK 199/-,195,199,0
LOREAL SKIN PERFECT 90,88,90,1
LOREAL TOTAL REPAIR 5 SHAMPOO 704ML,590,599,1
LOREAL WHITE PERFECT MILKYFOAM 100ML,345,349,1
LOREL 6OIL SHA 396 ML,263,265,0
LOREL FALL RES ANTI SH 192.5ML,261,265,0
LOTTE CARAMILK 270G,48,50,0
LOTTE CHOCO ECLAIRS 260G,48,50,15
LOTTE CHOCO ECLAIRS PACK 200/-,195,200,3
LOTTE CHOCO PIE 140/-,138,140,12
LOTTE CHOCO PIE 50G,24,25,19
LOTTE CHOCO PIE COCOA 12/-,12,12,19
LOTTE CHOCOPIE CHOCO RS.10/-,9.83,10,79
LOTTE CHOCOPIE COCO 216/-,206,216,3
LOTTE CHOCOPIE COCO 60/-,68.5,70,12
LOTTE CHOCOPIE RS.10/-,9.83,10,48
LOTTE CHOCOPIE RS.10/- BOX,170,180,2
LOTTE COFFY BITE 10/-,9.83,10,30
LOTTE COFFY BITE 190G,48,50,2
LOTTE COFFY BITE 390G,98,100,40
LOTTE FRUTOPIE 4PACK,48,50,9
LOTTE FRUTOPIE 6PACK,78,80,5
LOTTE HEART GIFT BOX 300G,98,100,3
LOTTE JELLY 10/-,9.83,10,1
LOTTE JEWEL GIFT BOX 439G,195,200,1
LOTTE LACTO KING 280G,48,50,0
LOTTE LIPS ORANGE CANDY 14G,25,30,5
LOTTE MANGO ECLAIRS 260G,48,50,1
LOTTE MILK ECLAIRS PACK 200/-,195,200,1
LOTTE OCTON HONEY 296G,117,120,1
LOTTE OCTON MILK 296G,117,120,2
LOTTE OCTON ORNGE 296G,117,120,1
LOTTE ORANGE ECLAIRS 260G,48,50,1
LOTTE RED ECLAIRS 180G,48,50,3
LOTTE SEASONS GREETINGS GFT BOX,190,200,8
LOTTE SEASONS GREETINGS RAJWADA,98,100,0
LOTTE STRAWBERRY ECLAIRS 260G,48,50,2
LOTTLE CHOCO PIE,78,80,8
LOTTLE CHOCO PIE 112G,49,50,13
LOTTLE CHOCO PIE 12,147,150,7
LOTTLE CHOCO PIE 25,24,25,12
LOTTTLE RICH COCOA,88,90,0
LOTUS ALOESOFT B L 250ML,249,250,1
LOTUS ANTI TAN PA SP SUN 50G,238,245,0
LOTUS BERRY SCRUB 120ML,195,199,2
LOTUS CHANDAN 100 TABS,25,35,0
LOTUS CHANDAN 20G,15,20,0
LOTUS CLAYWHITE FACE WASH 60ML,185,190,0
LOTUS COCOA CARESS DHPL SPF 20,250,260,2
LOTUS COLOR KICK KAJAL,197,199,3
LOTUS FRESH APRICOT FACE WASH 100ML,185,190,3
LOTUS HERBAL BASILTONE TONER,290,295,4
LOTUS HERBAL FRUITY FUSION 5G,185,190,2
LOTUS HERBAL NUTRAMOIST 50G,450,455,0
LOTUS HERBAL WHITE GLOW DEEP MOISTURISING CREAM 60G,390,395,3
LOTUS HERBAL WHITE GLOW FOAM 100G,235,240,4
LOTUS HERBAL WHITE GLOW FOAM 50G,150,155,3
LOTUS HERBAL WHITE GLOW GEL CREAM 18G,96,99,7
LOTUS HERBAL WHITE GLOW GEL CREAM 60G,381,390,3
LOTUS HERBAL WHITE GLOW MASQUE 80G,218,225,0
LOTUS HERBAL WHITE GLOW MASSAGE CREME 60G,386,395,0
LOTUS HERBAL WHITE GLOW OIL CONROL 100G,235,240,2
LOTUS HERBAL WHITE GLOW SCRUB 100G,250,255,3
LOTUS HERBAL WHITE GLOW SERUM+MOIS 30ML,389,399,1
LOTUS HERBAL WHITE GLOW SKIN WHITEN BRIGHT NIGHT CREAM 60G,415,425,3
LOTUS HERBAL WHITE GLOW VITAMIN-C,470,475,3
LOTUS HERBAL WHITE GLOW VITAMIN-C FACE WASH,258,260,3
LOTUS JOJOBA FACE WASH 120ML,195,199,3
LOTUS JOJOBA FACE WASH 80ML,137,140,3
LOTUS LICORICE WHITE SOAP 100GM,84,85,4
LOTUS LIP LUSH STRAWBERRY,185,190,3
LOTUS LIP THERAPHY CHERRY 4G,160,165,1
LOTUS LIP THERAPHY V ROSE 4G,185,190,5
LOTUS NEEM FACE WASH 120ML,195,199,2
LOTUS NEEM WASH FACE WASH 80ML,137,140,3
LOTUS PACHA KARPOR 5G,18,20,24
LOTUS PEARL FACIAL KIT,240,245,2
LOTUS PINK GLOW CREAM 50G,440,445,2
LOTUS PINK GLOW CREME 18G,123,125,5
LOTUS PINK GLOW FACE WASH 100G,255,260,2
LOTUS PINK GLOW FACE WASH 50G,163,165,2
LOTUS PINK GLOW NIGHT CRREME 50G,450,455,3
LOTUS RADIANT GOLD FACIAL KIT,282,285,2
LOTUS RASPBERRY LIP BALM 5G,185,190,2
LOTUS ROSETONE FACIAL SKIN TONER,290,295,2
LOTUS SCURB 80ML,137,140,4
LOTUS SERUM MASK BRITENING 20G,0,0,0
LOTUS SUN CREAM SPF-20 50G,185,190,3
LOTUS SUN CREAM SPF-30 50G,240,245,3
LOTUS SUN CREAM SPF-40 100G,415,425,3
LOTUS SUN CREAM SPF-40 50G,285,290,3
LOTUS SUN CREAM SPF-50 100G,450,455,2
LOTUS SUN CREAM SPF-50 50G,330,335,3
LOTUS SUN CREAM SPF50G,210,215,1
LOTUS TEATREE FACE WASH 120ML,195,199,3
LOTUS TEATREE FACE WASH 80ML,137,140,3
LOTUS WHITE GLOW CHARCOAL 100ML,210,215,0
LOTUS WHITE GLOW CHARCOAL 50G,150,155,2
LOTUS WHITE GLOW FACIAL KIT,245,250,2
LOTUS WHITE GLOW GEL CREME 40G,285,290,3
LOTUS WHITE GLOW H B L 330ML,305,310,0
LOTUS WHITE GLOW NIGHT CREAM,134,135,3
LOTUS WHITE GLOW OIL CONTROL FW,154,155,3
LOTUS WHITE GLOW SCRUB,170,175,3
LOTUS WHITE GLOW SERUM MASK 20G,88,90,2
LOTUS WHITE GLOW SERUM PURIFYING 20G,88,90,2
LOTUS WHITE GLOW SERUM SATIN 20G,88,90,4
LOTUS WHITEGLOW CHARCOAL FACE WASH,235,240,3
LOUTS APRISCURUB 60G,94,95,3
LOVE AND CARE EXPERT CARE WASH 500ML,133,135,6
LOVE BIRDS 1N,1,1,122
LOVYA ROSE MILK SHAKE,9.83,10,25
LOYKA ALMOND BRITTLE DARK CHOCO 35/-,34,35,2
LP CCG SMALL PACK 24ML,167,169,0
LULLU PARROR MOP 180/-,95,180,3
LULU CLOTH MOP,100,120,1
LUSH LYCHEE 250ML,99,99,2
LUVIT 5/-,5,5,0
LUVIT CHOCORICH POUCH 124/-,123,124,4
LUVIT DAIRY 40/-,39,40,0
LUVIT DAIRY 5/-,5,5,0
LUVIT DAIRY FRUIT/NUT 40/-,44,45,6
LUVIT LOCA 10/-,9.83,10,15
LUVIT LOLLY POP 5/-,5,5,23
