Item Name,GST Tax Desc,GST code,HSN code,Cost,Selling,M.R.P,Total Stock
HALDIRAMS MIXTURE 150G,GST 12%,5004,21069099,27.35,29,30,12
NAVARATAN MIXTURE 150G,GST 12%,5004,21069099,34.18,43,45,0
SOYA STICK 150G,GST 12%,5004,21069099,30.43,34,35,0
TASTY NUTS 150GMS,GST 12%,5004,21069099,28.69,32,33,1
TASTY NUTS 60GMS,GST 12%,5004,21069099,8.55,9.83,10,35
UPPU KADALAI 250G,GST Exempted Tax,5002,,22.5,38,50,1
DORITOS SWEET CHILLI,GST 12%,5004,,9.09,9.83,10,18
DORITOS NACHO CHEESE FLAVOUR 10/-,GST 12%,5004,,9.09,9.83,10,2
KURKURE HYDREBADI HUNGAMA 10/-,GST 12%,5004,,9.09,9.83,10,29
KURKURE HUNGAMA 10/-,GST 0% Tax,5001,,7.5,9.83,10,1
TEDHE MEDHE 10/-,GST 12%,5004,2104,8.68,9.83,10,5
KURKURE GREEN DHUTNEY STYLE 20/-,GST 12%,5004,,17.2,19.5,20,30
KURKURE PUFCORN 20/-,GST 12%,5004,,17.82,19.5,20,19
KURKURE CHILLI CHATKA 20/-,GST 12%,5004,,18.18,19.5,20,5
LAYS MAGIC MASALA 20/-,GST 12%,5004,,18.18,19.5,20,39
LAYS MAX 20/-,GST 12%,5004,,18.18,19.5,20,2
LAYS MAGIC MASALA 35/-,GST 12%,5004,,25.5,29,30,6
LAYS CLASSIC SALTED 30/-,GST 12%,5004,,26.73,29,30,10
TOWN BUS BUTTER MURUKKU 120G,GST 12%,5004,21069099,38,49,50,0
TOWN BUS MOONG DAL 120G,GST 12%,5004,21069099,37.5,44,45,2
TOWN BUS ALOO BHUJIA 120G,GST 12%,5004,21069099,37.2,44,45,14
DEV TAPIOCA CHIPS,GST 12%,5004,,48.75,61,65,3
DEV ROASTED PEANUT,GST 12%,5004,,48.75,63,65,1
DEV POTATO CHIPS,GST 12%,5004,,40.88,48,50,0
DEV RICE MURUKU,GST 12%,5004,,60,78,80,4
KIT KAT 8.6G,GST 18%,5005,,4.54,5,5,34
ACTII CLASSIC SALTED 225G,GST 0% Tax,5001,,58.5,64,65,1
ACTII THEATRE BUTTER 450G,GST 12%,5004,,107.14,118,120,0
ACTII BUTTER DELITE 450G,GST 12%,5004,,90,115,120,1
LOLAS BALLS,GST 0% Tax,5001,1905,20,24,25,70
LOLAS PEPPER CHIPS 25/-,GST 0% Tax,5001,1905,24,29,30,14
LOLAS PANI PORI,GST 0% Tax,5001,1905,32,44,45,3
HALDIRAMS MASALA KAJU 35G,GST 12%,5004,20081910,45.64,49,50,0
HALDIRAMS SALT KAJU 35G,GST 12%,5004,20081910,45.64,49,50,0
HALDIRAMS MASALA PEANUT 10/-,GST 12%,5004,20081100,8.55,9.83,10,8
