Item Name,MFR Name,Selling,M.R.P,Total Stock
KIRUBAS OMUM WATER 750 ML,MFR,40,44,5
KIRUBAS PACKIYA TOILET CLEANER 500ML,MFR,42,46,35
KIRUBAS PURE CASTOR OIL 100GM,MFR,44,46,9
KIRUBAS PURE CASTOR OIL 200GM,MFR,85,90,6
KIRUBAS PURE CASTOR OIL 500GM,MFR,160,180,0
KIRUBAS PURE CASTOR OIL 50GM,MFR,27,28,13
KIRUBAS RED CROSS PHENOL 450L,MFR,66,80,6
KIRUBAS ROSE SYRUP 750ML,MFR,117,120,28
KIRUBAS ROSE WATER 100ML,MFR,21,22,3
KIRUBAS ROSE WATER 200ML,MFR,32,33,2
KIRUBAS ROSE WATER 500ML,MFR,39,42,8
KIRUBAS ROSE WATER 50ML,MFR,13,14,10
KIRUBAS ROSE WATER 750ML,MFR,48,50,7
KIRUBAS SPECIAL LIQUED DETERGENT (HAMADE) 1L,MFR,83,85,3
KIRUBAS SPECIAL SAN CLR 750ML,MFR,60,65,8
KIRUBAS SPECIAL SANITAIZER CITRUS 1L,MFR,49,63,23
KIRUBAS SPECIAL SANITAIZER LEMON 1L,MFR,57,63,0
KIRUBAS SPL LIQUED DETERGENT (HAMADE) 500ML,MFR,49,55,3
KIRUBAS SPL SANITAIZER JASMINE 1L ,MFR,55,67,35
KIRUBAS WASHING SODA 200GM,MFR,29,30,28
KIRUBAS WASING SODA 100 GM,MFR,14,15,6
KIRUBAS WASING SODA 500GM,MFR,49,50,0
KIRUBAS WHITE PHENOL CONCENTRATE (CITRO) 200ML,MFR,125,130,4
KIRUBAS WHITE PHENOL CONCENTRATE (CITRUS) 100ML,MFR,59,72,0
KIRUBAS WHITE PHENOL CONCENTRATE (JASMINE) 100ML,MFR,66,75,11
KIRUBAS WHITE PHENOL CONCENTRATE (JASMINE) 500ML,MFR,210,255,1
KIRUBAS WHITE PHENOL CONCENTRATE (LAVENDER) 200ML,MFR,110,130,2
KIRUBAS WHITE PHENOL CONCENTRATE (LAVENDER) 500ML,MFR,235,245,0
KIRUBAS WHITE PHENOL CONCENTRATE CITRUS 500ML,MFR,205,255,12
KIRUBAS WHITE PHENOL CONCENTRATE JASMINE 200ML,MFR,110,130,20
KIRUBAS WHITE PHENOL CONCENTRATE LAVENDER 100ML,MFR,65,75,7
KIRUBAS WHITE PHENOL CONCENTRATE LEMON 100ML,MFR,59,75,18
KIRUBAS WHITE PHENOL CONCENTRATE LEMON 200ML,MFR,110,130,11
KIRUBAS WHITE PHENOL CONCENTRATE LEMON 500ML,MFR,199,255,7
KIRUBAS WHITE SANITIZER 750ML,MFR,40,47,35
KIRUBAS WHITE SANITIZER SANDAL 1L,MFR,85,105,2
KISHMISH 100G,MFR,46,55,35
KISHMISH 100G OLD,MFR,32,45,46
KISHMISH 1KG OLD,MFR,250,300,1
KISHMISH 250G,MFR,110,120,15
KISHMISH 250G OLD,MFR,72,90,0
KISHMISH 500G,MFR,220,250,8
KISHMISH 500G OLD,MFR,125,150,1
KISHMISH 50G,MFR,23,30,52
KISHMISH 50G OLD,MFR,16,26,0
KISHMISH BLACK 100G,MFR,75,80,19
KISHMISH BLACK 250G,MFR,180,200,7
KISHMISH BLACK BULK,MFR,750,850,14.05
KISHMISH BULK,MFR,450,480,17.25
KISS ME PERFUME 100ML,MFR,299,360,1
KISS ME PERFUME 40ML,MFR,130,159,0
KISS ME PERFUME 60ML,MFR,180,225,0
KISSAN FRESH TOMATO KETCHUP 1KG,MFR,140,150,0
KISSAN FRESH TOMATO KETCHUP 425G,MFR,49,50,4
KISSAN FRESH TOMATO KETCHUP 500G,MFR,113,115,6
KISSAN FRESH TOMATO KETCHUP 950G,MFR,118,120,3
KISSAN GRAPE SQUASH 750ML,MFR,145,150,17
KISSAN HAZELNUT CHOCO PEANUT SPREAD,MFR,235,239,3
KISSAN LEMON SQUASH 750ML,MFR,126,130,12
KISSAN MANGO SQUASH 750ML,MFR,162,165,4
KISSAN MIX FRUIT JAM 200G,MFR,78,80,10
KISSAN MIXED FRUIT JAM 10/-,MFR,9.8,10,0
KISSAN MIXED FRUIT JAM 100G,MFR,19.5,20,30
KISSAN MIXED FRUIT JAM 500G,MFR,188,190,7
KISSAN NO ONION NO GARLIC 1KG,MFR,150,160,0
KISSAN NO ONION NO GARLIC 200G,MFR,79,80,2
KISSAN NO ONION NO GARLIC 500G,MFR,103,105,1
KISSAN NO ONION NO GARLIC SAUCE 950G,MFR,118,120,1
KISSAN NON ONION NO GARLIC,MFR,78,80,0
KISSAN ORG SQUASH 750ML,MFR,162,165,1
KISSAN PEANUT BUTTER 100G,MFR,49,50,8
KISSAN PEANUT BUTTER 350G,MFR,170,175,9
KISSAN PINEAPPLE JAM 500G,MFR,195,200,4
KISSAN PINEAPPLE SQUASH 750ML,MFR,126,130,6
KISSAN PIZZA PASTA SAUCE 200G,MFR,54,55,0
KISSAN S SPICY 200G,MFR,73,75,6
KISSAN SCHEZWAN SAUCE 200G,MFR,53,55,0
KISSAN SWEET AND SPICY SAUCE 450G,MFR,78,80,4
KISSAN SWEET*SPICY 500G,MFR,103,105,1
KISSAN TOMATO 200G,MFR,68,70,9
KISSAN TOMATO KETCHUP 425G,MFR,69,70,0
KISSAN TOMOTO CHILLY 200G,MFR,70,72,76
KISSAN TOMOTO CHILLY 500G,MFR,118,120,7
KISSAN TOMOTO KETCHUP 450G,MFR,115,120,6
KISSANCHO FR TOMATO KE UP 130G,MFR,14.75,15,22
KIT COLOUR FUN ,MFR,145,149,1
KIT COLOUR FUN 99/-,MFR,95,99,0
KIT KAT 10/-,MFR,9.8,10,44
KIT KAT 100/-,MFR,99,100,0
KIT KAT 25,MFR,24.5,25,1
KIT KAT 8.6G,MFR,5,5,34
KIT KAT CHUNKY CARAMEL,MFR,75,80,16
KIT KAT DARK CHOCOLATE 50G,MFR,78,80,8
KIT KAT DOUBLE CHOCOLATE,MFR,108,110,6
KITCHEN CLIPPER TUBE ,MFR,130,140,3
KITCHEN CLOTH 1N,MFR,15,25,167
KITCHEN CLOTH MF,MFR,140,160,1
KITCHEN WIPER 30/-,MFR,35,40,6
KITKAT 10RS,MFR,9.8,10,20
KITKAT COOKIE CRUMBLE,MFR,78,80,7
KITKAT DARK CHOCOLATE 150G,MFR,185,190,7
KITKAT DESSERT 60/-,MFR,64,65,21
KITKAT DESSERT BIG,MFR,69,70,5
KITKAT DESSERT DELIGHT CHOCO FUDGE 150G,MFR,168,170,1
KITKAT DESSERT TRUFFLE 50/-,MFR,69,70,3
KITKAT MINIDUO COKIES 10/-,MFR,9.8,10,5
KITKAT PARTY PACK ,MFR,145,149,4
KITKAT RS.10/- BOX,MFR,410,420,0
KITKAT RS.15/-,MFR,14.5,15,86
KITKAT RS.15/- BOX,MFR,585,600,0
KITKAT RS.20/-,MFR,19.5,20,4
KITKAT RS.25/-BOX,MFR,650,700,4
KITKAT SHARE BAG 119G,MFR,99,100,0
KIWI,MFR,60,60,6
KIWI 2 IN 1 BRUSH LEATHER 89/-,MFR,93,95,13
KIWI EXPRESS SH SPONGE ALL CLR 5ML,MFR,90,92,0
KIWI EXPRESS SH SPONGE BLACK 5ML,MFR,90,92,8
KIWI INSTANT POLISH ALL COLOR LEATHER 85ML,MFR,73,74,2
KIWI INSTANT POLISH BLACK LEATHER 40ML,MFR,78,80,6
KIWI INSTANT POLISH BLACK LEATHER 85ML,MFR,120,123,19
KIWI INSTANT POLISH BROWN LEATHER 40ML,MFR,78,80,7
KIWI INSTANT POLISH BROWN LEATHER 85ML,MFR,73,74,0
KIWI POLISH BLACK LEATHER 15G,MFR,45,47,5
KIWI POLISH BLACK LEATHER 40G,MFR,82,84,6
KIWI POLISH DARK TAN LEATHER 15G,MFR,45,47,3
KIWI POLOSH DARK TAN 40G,MFR,62,63,0
KIWI SHOE SHINE BRUSH LEATHER 65/-,MFR,73,75,5
KLF COCONUT OIL 1L,MFR,250,266,1
KLF COCONUT OIL 500L,MFR,145,150,11
KLICK CAMPUS,MFR,34,35,3
KLOZE A3 SET,MFR,195,199,5
KLOZE A5 SET,MFR,245,249,5
KNIFE,MFR,70,75,15
KNIFE BIG,MFR,130,140,15
KNIFE NO;4,MFR,45,50,3
KNIFE NO;5,MFR,50,55,10
KNIFE NO;6,MFR,65,75,5
KNIFE SMALL,MFR,15,20,8
KNOR CLASSIC CHICKEN DELITE SOUP 44G,MFR,68,70,10
KNOR CLASSIC HOT SOUR VEG SOUP 43G,MFR,63,65,21
KNOR CLASSIC MIX VEG SOUP 45G,MFR,64,65,15
KNOR CLASSIC SWEET CHICKEN SOUP 42G,MFR,69,70,17
KNOR CLASSIC SWEET CORN VEG SOUP 44G,MFR,64,65,13
KNOR CLASSIC TH TOMATO SOUP 53G,MFR,59,60,14
KNOR HOT SOUR VEG 11G,MFR,9.8,10,0
KNOR MIXED VEG SOUP 10G,MFR,9.8,10,27
KNOR PRE INTER ITALIAN MUSHROOM SOUP 48G,MFR,74,75,12
KNOR SAUCE 200G,MFR,58,60,1
KNOR SO NOODLES MAST MASALA 75G,MFR,17,17,6
KNOR SWEET CORN VEG SOUP 10G,MFR,9.8,10,30
KNOR TOM CHATPATA SOUP 10G,MFR,9.8,10,26
KNOR VEG SOUP 46GM,MFR,64,65,1
KNORR BROCCOLI SOUP 12.5G,MFR,14.5,15,23
KNORR BROCCOLI SOUP50G,MFR,70,70,0
KNORR CHICKEN CUBE 6N,MFR,73,75,1
KNORR CHILLI GRAVY MIX 51G,MFR,49,50,0
KNORR HOT SOUR VEG SOUP 43G,MFR,58,60,4
KNORR ITALIAN MUSHROOM SOUP 12G,MFR,14.5,15,7
KNORR KOREAN KIMCHI SOUP 49G,MFR,68,70,3
KNORR KOREAN KIMCHI SOUP 9.5G,MFR,15,15,12
KNORR KOREAN NOODLES,MFR,58,60,27
KNORR MAST MASALA NOODLES,MFR,19,20,8
KNORR PIZZA PASTA SAUCE ,MFR,64,65,5
KNORR SCHEZWAN SAUCE POUCH 200G,MFR,69,70,12
KNORR THICK TOMATO SOUP 53G,MFR,63,65,17
KODA MILLET 500G,MFR,135,139,8
KOKOZO GRAPE 300M,MFR,55,60,29
KOKOZO LITCHI 500G,MFR,50,55,0
KOKOZO MANGO 300ML,MFR,55,60,0
KOKOZO MELON 300M,MFR,55,60,0
KOKOZO ORNAGE,MFR,50,55,0
KOKOZO PINEAPPLE JUICE 300M,MFR,55,60,0
KOKOZO STRAWBERRY 300M,MFR,50,50,1
KOKRON SUPER GEL,MFR,75,80,8
KOKUYO CORRECTION TAPE,MFR,78,80,10
KOLLU 250G,MFR,34,40,13
KOLLU 250G OLD,MFR,22,32,0
KOLLU BULK,MFR,136,140,10.95
KOMAL 5D BROOMS,MFR,160,199,2
KOPIKO CHOCOLATE 10/-,MFR,9.8,10,2
KOPIKO CHOKI CHOKI,MFR,34,35,0
KOPIKO CHOKI CHOKI BOX,MFR,98,100,1
KOPIKO CHOKI CHOKI PC,MFR,5,5,36
KOPIKO GO CHO WEELZ BOX,MFR,147,150,1
KOPIKO GO CHO WEELZ PC,MFR,5,5,5
KOPIKO GO CHOCO ROLLS BOX,MFR,147,150,0
KOPIKO GO CHOCO ROLLS PC,MFR,5,5,0
KOPIKO MALKI CHEESE,MFR,5,5,88
KOPIKO MALKI CHOCOLATE 5/-,MFR,5,5,49
KOPIKO POUCH BIG 3.5GM,MFR,112,115,2
KOPIKO POUCH SMALL,MFR,49,50,5
KOTHA VARANGAI,MFR,39,40,0
KOTHAVARANGAI,MFR,75,75,1.47
KOYAS EVA WHITE AROMA IS ,MFR,59,60,1
KOYAS MAYA SUPREME,MFR,14,15,8
KOYAS MAYA SUPREME INCENSE ,MFR,59,60,4
KOYAS MAYA SUPREME SAMBRANI POWDER,MFR,34,35,5
KOYAS PINEAPPLE STICK,MFR,58,60,9
KOYAS PINEAPPLE STICK SMALL,MFR,9.8,10,4
KP NAMBOODIRIS 45G,MFR,19,20,4
KPL COCONUT 1L,MFR,320,325,5
KPL COCONUT 500ML,MFR,140,144,6
KPL COCONUT PET 500ML,MFR,135,142,0
KRA CRM HLRP 15G,MFR,49,50,0
KRA CRM HLRP 25G,MFR,81,83,1
KRACK JACK 41 EXTRA,MFR,9.8,10,22
KRACK JACK 50 EXTRA,MFR,39,40,23
KRACK JACK BUTTER MASALA 300G,MFR,73,75,1
KRACK JACK BUTTER MASALA 40G,MFR,9.8,10,9
KRAVOUR CHOCO WAFFERS,MFR,80,80,25
KRAVOUR CHOCO WAFFERS ROLLS,MFR,59,60,11
KRAVOUR DARK CHOCO WAFFER ROLLS,MFR,59,60,6
KRAVOUR DARK WAFER BISCUITS,MFR,50,50,4
KRAVOUR MANGO WAFFERS,MFR,70,70,53
KRAVOUR ORANGE WAFFERS,MFR,80,80,46
KRAVOUR PINE APPLE WAFFERS 120G,MFR,70,70,34
KRAVOUR STRABERRY WAFFERS,MFR,80,80,13
KRAVOUR STRAWBERRY WAFFERS ROLLS 50/,MFR,59,60,13
KRAVOUR VANILLA WAFFERS,MFR,80,80,39
KREA EGG PROTEIN,MFR,43,45,5
KREA GRAND SANDAL,MFR,38,40,3
KREA RAKTHA CHANDAN,MFR,38,40,0
KREA ROYAL PAPAYA,MFR,43,45,0
KREA SHINY KUPPAIMENI,MFR,43,45,0
KREA TULSI AND ALOVERA,MFR,38,40,5
KREA VIBRANTH VIBOOTHI,MFR,38,40,0
KRISTAL CRYSTAL 1KG,MFR,18,19,0
KS EXCITE SPRAY 130ML,MFR,190,199,2
KS PASSION SPRAY 130ML,MFR,190,199,0
KS URGE POCKET PERFUME 18ML,MFR,63,65,5
KUBER MASK 50N,MFR,120,225,15
KULAMBU CHILLI POWDER 100G,MFR,32,39,40
KULIR GOLISODA,MFR,30,35,174
KUM KUM SAMBRABNI,MFR,29,30,3
KUMBAKONAM IYER COFFEE,MFR,200,225,11
KUMBAKONAM IYER COFFEE ULTRA RICH,MFR,195,200,8
KUMBAKONAM MYSORE COFFEE,MFR,200,225,7
KUMBAKONAM NAMMA AATHU COFFEE,MFR,145,150,0
KUMBAKONAM NO.1 DEGREE COFFEE 250G,MFR,140,150,13
KUMKUM 40G,MFR,9.8,10,11
KURKURE CHAAT FILLS 10/-,MFR,9.8,10,0
KURKURE CHATPATA CHEESE 40G,MFR,9.8,10,13
KURKURE CHATPATA CHEESE 84G,MFR,19.5,20,3
KURKURE CHILLI CHATKA 20/-,MFR,19.5,20,14
KURKURE CHILLI CHATKA 45G,MFR,9.8,10,22
KURKURE GREEN CHUTNEY STYLE 45G,MFR,9.8,10,27
KURKURE GREEN DHUTNEY STYLE 20/-,MFR,19.5,20,27
KURKURE HUNGAMA 10/-,MFR,9.8,10,0
KURKURE HYDREBADI HUNGAMA 10/-,MFR,9.8,10,28
KURKURE MASALA MUNCH 106G,MFR,29,30,3
KURKURE MASALA MUNCH 47G,MFR,9.8,10,25
KURKURE MASALA MUNCH 90G,MFR,19.5,20,41
KURKURE NAUGHTY TOMATO 45G,MFR,9.8,10,21
KURKURE NAUGHTY TOMATO 90G,MFR,19.5,20,4
KURKURE OUT OF CONTROL CHAAT,MFR,9.8,10,0
KURKURE PLAYZ PASTAX,MFR,9.8,10,0
KURKURE PLAYZ PASTAX 40G,MFR,19.5,20,7
KURKURE PLAYZ PUFFS 10/-,MFR,9.8,10,2
KURKURE PLAYZ PUFFS 20/-,MFR,19.5,20,0
KURKURE PUFCORN 20/-,MFR,19.5,20,32
KURKURE PUFCORN 50/-,MFR,49,50,7
KURKURE PUFFCORN YUMMY CHEESE 28G,MFR,9.8,10,35
KURKURE SIZZLIN HOT 10/-,MFR,9.8,10,20
KURKURE UN CENS ORED TADKA,MFR,9.8,10,1
KURMURA MIX 60G,MFR,9.8,10,0
KUTHIRAI VALI 500G,MFR,60,70,1
KUTHUVILAKKU VERMICHILLI 180G,MFR,22,23,21
KUTTYS APPALAM 100G,MFR,60,65,2
KYLO DISHWASH POWDER 1KG,MFR,194,199,1
KYLO DISHWASH POWDER 500G,MFR,98,100,0
KYLO DISHWASH POWDER 60G,MFR,9.8,10,3
L FOLDER,MFR,9.8,10,17
LABAN STRAWBERRY JELLY,MFR,9.8,10,10
LABAN TANGO MANGO 10/-,MFR,9.8,10,21
LABEL,MFR,5,5,39
LACTO ALOE 120ML,MFR,193,198,0
LACTO ALOE 30ML,MFR,78,80,4
LACTO ALOE 60ML,MFR,138,140,1
LACTO CAL 120ML,MFR,255,260,8
LACTO CAL 30ML,MFR,78,80,3
LACTO CAL 60ML,MFR,138,140,3
LACTO SUNSCREEN 50G,MFR,190,199,4
LADIES FINGER/VENDAKAI,MFR,90,90,7.67
LAK BADAM MIX 200G,MFR,98,100,6
LAKEME 9TO5 CC CREAM BRONZE 30G,MFR,330,349,2
LAKEME CUSHION MATTE LIPSTICK 275/-,MFR,275,275,15
LAKEME PEACH MILK SOFT CREAM 250G,MFR,355,375,0
LAKEME WHITE PRESSED POWDER SHINE CONTOL 9G,MFR,136,140,1
LAKME 9 T0 5 MATTE COMPLEXION COMPACT 8G,MFR,620,625,4
LAKME 9 T0 5 MATTE MOIST,MFR,245,250,0
LAKME 9 T0 5 PRIMER+SHINE LIPSTICK,MFR,540,550,3
LAKME 9 TO 5 CC COM CREAM BROZNE 9G,MFR,108,110,2
LAKME 9 TO 5 NAIL COLOUR 180/-,MFR,170,180,7
LAKME 9 TO 5 NATDY CRM 50G,MFR,340,349,5
LAKME 9 TO 5 NATNT CRM 50G,MFR,390,399,3
LAKME 9 TO 5 VITAMIN C+ SCRUB,MFR,395,399,0
"LAKME 9TO5 CC ALMOND CREAM,BEIGE CREAM",MFR,350,360,3
LAKME 9TO5 CC COM CARE CREAM BEIGE 9G,MFR,103,105,2
LAKME 9TO5 CC CREAM,MFR,370,375,3
LAKME 9TO5 CC CREAM HONEY,MFR,350,360,5
LAKME 9TO5 LUMI LIT CREAM 30G,MFR,295,299,1
LAKME 9TO5 MATTE MOIST CREAM,MFR,340,349,2
LAKME 9TO5 POWERPLAY FOUNDATION,MFR,645,650,1
LAKME 9TO5 PRIMER MATTE 25ML,MFR,465,475,1
LAKME 9TO5 SUN EXPERT PRMING 50G,MFR,630,649,0
LAKME 9TO5 SUN EXPERT SUPERMATTE SPF 50 18ML,MFR,105,110,0
LAKME 9TO5 SUNEXPERT GEL LIGHT SPF50,MFR,360,365,3
LAKME 9TO5 SUNEXPERT SUPER MATTE SPF25,MFR,425,430,1
LAKME 9TO5 SUNEXPERT SUPER MATTE SPF30,MFR,470,475,2
LAKME 9TO5 SUNEXPERT SUPERMATTE SPF30 50ML,MFR,295,299,2
LAKME 9TO5 SUNEXPERT SUPERMATTE SPF50 50ML,MFR,335,339,2
LAKME 9TO5 SUNEXPERT TINT HINT 50ML,MFR,360,365,0
LAKME 9TO5 VIT C+ SERUM 15ML,MFR,295,299,3
LAKME 9TO5 VITA C+ FACE WASH,MFR,245,249,0
LAKME 9TO5 WTLS MOUSSE FOUNDATION 6G,MFR,173,175,1
LAKME ABSOLUTE 50G,MFR,445,449,1
LAKME ABSOLUTE DRY CREME,MFR,105,110,0
LAKME ABSOLUTE MAKE UP REMOVER,MFR,297,300,0
LAKME ABSOLUTE SERUM 15ML,MFR,390,399,0
LAKME BLU GLO FACE WASH 50G,MFR,128,130,1
LAKME BLUESH AN GLOW MASK,MFR,98,100,0
LAKME BLUESH AN GLOW POMEGRANATE,MFR,98,100,1
LAKME BLUR PERFECT PRIMER 10G,MFR,295,299,3
LAKME BLUR PERFECT RADIANCE SERUM 32 ML,MFR,789,799,2
LAKME BLUSH GLOW SHEET MASK 50G,MFR,98,100,0
LAKME CARAMEL LIP 4.5G,MFR,145,150,1
LAKME CC COLOR TRAS CRM BE 30G,MFR,390,399,2
LAKME CC COLOR TRAS CRM BRO 30G,MFR,390,399,0
LAKME CHERRY LIP 4.5G,MFR,142,150,2
LAKME CUSHION MATTE LIPSTICK 4.5G,MFR,320,325,7
LAKME DEW DRAMA FACE WASH 100G,MFR,245,249,0
LAKME DEW DRAMA GEL CREAM 50G,MFR,345,349,1
LAKME DEW DRAMA SERUM 15ML,MFR,245,249,1
LAKME ENRICH MATTE LIPSTICK 4.7G,MFR,345,349,39
LAKME EYE COLOR SHADOW 650/-,MFR,640,650,3
LAKME EYE CONIC MASCARA BLUE,MFR,395,400,1
LAKME EYECOINC COOL KAJAL,MFR,245,250,5
LAKME EYECON CURL MASALA  9ML,MFR,490,499,4
LAKME EYECONIC EYE LINER 1N 250/-,MFR,255,260,4
LAKME EYECONIC KAJAL 1N,MFR,195,199,13
LAKME EYECONIC KAJAL DEEP BLACK,MFR,395,399,15
LAKME EYECONIC KAJAL ROYAL BLUR 1N ,MFR,270,275,4
LAKME EYECONIC LINERPEN BLOCK TIP 1ML,MFR,540,550,1
LAKME EYECONIC LINERPEN FINE TIP 1ML,MFR,540,550,1
LAKME EYELINER,MFR,173,175,1
LAKME FACE IT COMPACT,MFR,185,190,9
LAKME FACE POWDER 40G,MFR,225,229,1
LAKME FRESH LIFE DAY CREME,MFR,440,449,1
LAKME FRESH LIFE NIGHT CREAM 50G,MFR,480,499,2
LAKME INSTA LNR 1 9M,MFR,140,145,3
LAKME LAKME FESTIVE LIP STICK,MFR,390,399,3
LAKME LAST GLOW COM2 12*9GM,MFR,106,110,4
LAKME LAST GLOW MARBLE,MFR,107,110,4
LAKME LAST GLOW PEARL 12*27ML,MFR,98,100,1
LAKME LAST GLOW SHELL,MFR,108,110,0
LAKME LIP LINER,MFR,345,349,2
LAKME LIP LOVE 4.5G,MFR,158,160,7
LAKME LIPSTICK 9TO5,MFR,495,500,5
LAKME LIQUID LIPCOLOR,MFR,345,345,2
LAKME LUMI CREAM 30G,MFR,295,299,1
LAKME LUMI SMOOTH CREAM 50G,MFR,345,349,1
LAKME LUMI SMOOTH FACE WASH 100G,MFR,245,249,0
LAKME LUMI-SMOOTH AHA SERUM 15ML,MFR,245,249,2
LAKME MATTE COMPACT 8G,MFR,540,550,6
LAKME MATTE LIPSTICK,MFR,420,429,12
LAKME MATTELIPSTICK BROWNBURST ,MFR,297,299,2
LAKME MICELLAR FACE WASH 50G,MFR,148,149,0
LAKME MOUSSE FOUNDATION,MFR,195,199,4
LAKME NAIL COLOUR 6ML,MFR,120,125,27
LAKME NAIL REMOVER 27ML,MFR,96,99,3
LAKME PEA MILK 25G,MFR,58,59,3
LAKME PEA MILK MOIS 60ML,MFR,118,120,1
LAKME PEA MILK SOFT 150G,MFR,335,350,1
LAKME PEAC MILK INTENSE MOIS 60ML,MFR,95,99,2
LAKME PEAC MILK MOIS 60ML,MFR,107,110,1
LAKME PEAC MILK MOISTURISER ALL SKIN 60ML,MFR,96,99,9
LAKME PEACH MILK 120ML,MFR,275,280,0
LAKME PER LIQ FOU COR 27M,MFR,195,199,3
LAKME PER LIQ FOU MAR 27M,MFR,195,199,7
LAKME PER LIQ FOU PEA 27M,MFR,150,155,10
LAKME PER LIQ FOU SHE 27M,MFR,185,190,9
LAKME PER RADI CREME 15G,MFR,117,120,0
LAKME PERFECT FOUND 27ML,MFR,185,190,3
LAKME PERFECT RADIANCE 15G,MFR,97,99,2
LAKME PERFECT RADIANCE BRIGHT LIGHT CREME,MFR,420,425,0
LAKME PERFECT RADIANCE DAY CREAM 50G,MFR,370,375,1
LAKME PERFECT RADIANCE MINER CLAY MASK,MFR,480,499,2
LAKME PERFECT RADIANCE SERUM 15ML,MFR,295,299,0
LAKME PERFECT SERUM 15ML,MFR,295,299,0
LAKME POWERPLAY PRIMING POWDER,MFR,620,625,1
LAKME PR SK LG FW 50G,MFR,155,160,1
LAKME RAGIMALT MIX 200G,MFR,87,90,1
"LAKME ROSE POWDER S,WPINK 40G",MFR,210,215,0
LAKME STBE CREAME FW 50G,MFR,115,120,0
LAKME STBE FW 50G,MFR,105,110,0
LAKME STRAWBERRY FACE WASH 50G,MFR,123,125,1
LAKME SUN EXPERT 18ML,MFR,96,99,0
LAKME SUN EXPERT 50ML,MFR,320,325,0
LAKME SUN EXPERT COMPACT,MFR,295,299,3
LAKME SUN EXPERT DE-TAN SCRUB ,MFR,152,155,2
LAKME SUN EXPERT LIG -WEIGHT GEL 60ML,MFR,340,349,0
LAKME SUN EXPERT LIG GEL60ML,MFR,194,199,0
LAKME SUN EXPERT TINTED SUN SCREEN 100ML,MFR,520,525,6
LAKME SUN EXPERT ULTRA AFTER SUN GEL 50G,MFR,196,200,0
LAKME SUN EXPERT ULTRAMATTE LOTION 100ML,MFR,540,550,1
LAKME SUN EXPERT ULTRAMATTE LOTION 60ML,MFR,220,225,0
LAKME SUNEXPERT 56G,MFR,495,499,2
LAKME TRUE WEAR NAIL COLOR,MFR,115,125,7
LAKME ULTIMATE GLAM COMPACT,MFR,245,250,2
LAKME ULTIMATE NAIL POILISH,MFR,189,199,8
LAKME VITAMIN C SERUM 15ML,MFR,395,399,1
LAKME VITAMIN C SERUM 7ML,MFR,145,149,1
LAKME VOLME MASCARA 8.5ML,MFR,390,400,1
LAKME YOUTH INFINITY DAY CREAM 50G,MFR,890,899,1
LAKME YOUTH INFINITY SERUM 15ML,MFR,495,499,0
LAKME YOUTH INFINITY SERUM 32ML,MFR,789,799,0
LAKSHMI PISTA MILK SHAKE,MFR,63,65,3
LAKSHMI ROSE MILK,MFR,85,90,0
LAKSHMIS BADAM MIX 200G,MFR,115,120,6
LAKSHMIS RAGIMALT MIX 200G,MFR,115,120,6
LAKSHMIS ROSE MILK MIL 200G,MFR,115,120,5
LALYER POWER PLY 135ML,MFR,220,225,6
LAME COMPACT POW 40G,MFR,155,160,0
LAPR BRIGHT DAY CR 50G,MFR,321,330,0
LAPR BRT NIGHT CRE 50G,MFR,391,400,0
LARGE PLATE,MFR,145,145,38
LASER SHAVE BRUSH,MFR,49,50,12
LAVANGAM 25G,MFR,40,45,15
LAVANGAM 25GM,MFR,28,32,9
LAVANGAM 50GM,MFR,48,60,10
LAVANGAM 5GM,MFR,0,0,0
LAVANGAM BULK,MFR,"1,500.00","1,600.00",2.79
LAVENDER ULTIMO 100ST,MFR,147,150,2
LAVIAN FESTIVILS,MFR,130,135,2
LAXMAN REKHA COCKROACH CHALK,MFR,12,16,1
LAXMANREKHAA,MFR,17,18,19
LAXMANREKHAA MOUSE PAD,MFR,80,100,1
LAYER CAKE CHOCO 25G,MFR,9.8,10,36
LAYER CRAZE 135ML,MFR,220,225,0
LAYER DYNAMIC 135ML,MFR,220,225,2
LAYER GAME 135ML,MFR,202.5,225,0
LAYER ICONIC 135ML,MFR,220,225,1
LAYER MAX BLAZE 125ML,MFR,175.5,195,0
LAYER MAX FLAIR 125ML,MFR,175.5,195,0
LAYER MAX FLICK 125ML,MFR,175.5,195,0
LAYER MAX TREND 125ML,MFR,175.5,195,0
LAYER PASSION 135ML,MFR,175.5,195,0
LAYER POWER 135ML,MFR,202.5,225,0
LAYER RAGE 135ML,MFR,175.5,195,0
LAYER RED STALLION 135ML,MFR,220,225,4
LAYER ROMANCE,MFR,245,259,3
LAYER ROYAL JADE 135ML,MFR,220,225,2
LAYER SHOT DEEP DESIRE 135ML,MFR,220,225,2
LAYER SHOT IMPERIAL 135ML,MFR,220,225,3
LAYER SHOT MYSTIC ISLAND,MFR,236,249,1
LAYER SHOT SPORTY SPRAY 135ML,MFR,175,195,0
LAYER SHOT ULTIMA 135ML,MFR,176,195,0
LAYER SHOT VOYAGE 135ML,MFR,175.5,195,0
LAYER WA FANTASY 135ML,MFR,245,259,4
LAYER WATTAGIRL CUPID HEART 100ML,MFR,180,189,1
LAYER WATTAGIRL CURRANT CRUSH 100ML,MFR,180,189,1
LAYER WATTAGIRL FRENCH PEONY135ML,MFR,215,225,3
LAYER WATTAGIRL MANDARIAN TWIST 135ML,MFR,215,225,1
