Item Name,MFR Name,Selling,M.R.P,Total Stock
A2B MINI THATTA 100G,MFR,44,45,12
A2B MINI THATTAI,MFR,19.5,20,12
A2B MINI THENKUZHAL 100G,MFR,44,45,2
A2B MINI THENKUZHAL MURUKKU 200G,MFR,76,80,2
A2B MOONG DAL 10/-,MFR,9.8,10,8
A2B MOONG DAL 100G,MFR,39,40,6
A2B MOONG DAL 225G,MFR,69,70,2
A2B MOTO SEV 100G,MFR,39,40,9
A2B NAVADHANYA MIXTURE 100G,MFR,44,45,9
A2B OM PODI 10/-,MFR,9.8,10,6
A2B PARUPPU PODI DAL MIX POWDER,MFR,39,40,4
A2B PEANUTS SALTED 10/-,MFR,9.8,10,1
A2B PEPER SEV,MFR,19.5,20,5
A2B PEPPER SEV 10/-,MFR,9.8,10,8
A2B PEPPER SEV 100G,MFR,44,45,4
A2B PEPPER THATTAI,MFR,19.5,20,5
A2B PEPPER THATTAI 200G,MFR,80,85,2
A2B POTATO CHIPS,MFR,24,25,10
A2B RAJAPALAYAM KARASEV 200G,MFR,78,80,4
A2B RAJAPALAYAM MIXTURE 100G,MFR,49,50,5
A2B RAJAPALAYAM THATTAI 200G,MFR,76,80,0
A2B RASAKULLA 500GM,MFR,123,125,3
A2B RIBBEN PAKODA,MFR,20,20,6
A2B RIBBON PAKODA 100G,MFR,38,40,9
A2B RICE PASTE 100G,MFR,33,35,21
A2B SEEDAI 100G,MFR,44,45,0
A2B SEEDAI 200G,MFR,88,90,3
A2B SEEDAI 50G,MFR,20,20,2
A2B SIRAI PAKODA 100G,MFR,44,45,3
A2B SOAN PAPDI 250G,MFR,68,70,30
A2B SPECIAL MIXTURE 100G,MFR,59,60,20
A2B THATTAI,MFR,19.5,20,27
A4 COLOUR PAPER 1N,MFR,3,5,229
A4 FOLDER,MFR,9.8,10,14
A4 KING FILE,MFR,85,88,1
AAC GHEE 100G,MFR,134,138,2
AACHI  MANGO PICKLE 300GM,MFR,95,99,2
AACHI ACHU MURUKKU FLOUR 500G,MFR,53,55,0
AACHI ADAI MIX 200G,MFR,63,65,0
AACHI ADHIRASAM MAVOO 500G,MFR,90,90,11
AACHI AMLA PICKLE ,MFR,71.5,75,4
AACHI ASAFOETIDA POWDER 100GM,MFR,170,182,8
AACHI ASAFOETIDA POWDER 20G,MFR,38,40,2
AACHI ASAFOETIDA POWDER 50GM,MFR,80,92,15
